2021-06-23 00:22:30.577 DEBUG wellness-api-9f78984cb-7tp4k --- [io-8081-exec-25] c.a.a.w.w.c.JwtAuthenticationFilter      : security context was null, so authorizating user
2021-06-23 00:22:30.612 DEBUG wellness-api-9f78984cb-7tp4k --- [io-8081-exec-47] c.a.a.w.w.c.JwtAuthenticationFilter      : security context was null, so authorizating user
2021-06-23 00:22:30.622 DEBUG wellness-api-9f78984cb-7tp4k --- [io-8081-exec-30] c.a.a.w.w.c.JwtAuthenticationFilter      : security context was null, so authorizating user
2021-06-23 00:22:30.628 DEBUG wellness-api-9f78984cb-7tp4k --- [nio-8081-exec-2] c.a.a.w.w.c.JwtAuthenticationFilter      : security context was null, so authorizating user
2021-06-23 00:22:30.630 DEBUG wellness-api-9f78984cb-7tp4k --- [io-8081-exec-29] c.a.a.w.w.c.JwtAuthenticationFilter      : security context was null, so authorizating user
2021-06-23 00:22:30.630 DEBUG wellness-api-9f78984cb-7tp4k --- [io-8081-exec-33] c.a.a.w.w.c.JwtAuthenticationFilter      : security context was null, so authorizating user
2021-06-23 00:22:31.143  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-36] c.a.a.w.w.s.i.DailyStepService           : Old daily step : AbstractVersionTrack(createdDate=2021-06-18 16:10:00.312, createdUserId=180, updatedDate=null, updatedUserId=0, version=0, isDelete=false)
2021-06-23 00:22:31.155  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-36] c.a.a.w.w.s.i.DailyStepService           : Old daily step : AbstractVersionTrack(createdDate=2021-06-18 16:10:00.417, createdUserId=180, updatedDate=null, updatedUserId=0, version=0, isDelete=false)
2021-06-23 00:22:31.166  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-36] c.a.a.w.w.s.i.DailyStepService           : Old daily step : AbstractVersionTrack(createdDate=2021-06-18 16:10:00.511, createdUserId=180, updatedDate=null, updatedUserId=0, version=0, isDelete=false)
2021-06-23 00:22:31.179  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-36] c.a.a.w.w.s.i.DailyStepService           : Old daily step : AbstractVersionTrack(createdDate=2021-06-18 16:10:00.623, createdUserId=180, updatedDate=null, updatedUserId=0, version=0, isDelete=false)
2021-06-23 00:22:31.190  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-36] c.a.a.w.w.s.i.DailyStepService           : Old daily step : AbstractVersionTrack(createdDate=2021-06-18 16:10:00.721, createdUserId=180, updatedDate=null, updatedUserId=0, version=0, isDelete=false)
2021-06-23 00:22:31.201  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-36] c.a.a.w.w.s.i.DailyStepService           : Old daily step : AbstractVersionTrack(createdDate=2021-06-18 16:10:00.812, createdUserId=180, updatedDate=null, updatedUserId=0, version=0, isDelete=false)
2021-06-23 00:22:31.212  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-36] c.a.a.w.w.s.i.DailyStepService           : Old daily step : AbstractVersionTrack(createdDate=2021-06-18 16:10:00.896, createdUserId=180, updatedDate=null, updatedUserId=0, version=0, isDelete=false)
2021-06-23 00:22:31.223  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-36] c.a.a.w.w.s.i.DailyStepService           : Old daily step : AbstractVersionTrack(createdDate=2021-06-18 16:10:01.0, createdUserId=180, updatedDate=null, updatedUserId=0, version=0, isDelete=false)
2021-06-23 00:22:31.234  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-36] c.a.a.w.w.s.i.DailyStepService           : Old daily step : AbstractVersionTrack(createdDate=2021-06-18 16:10:01.092, createdUserId=180, updatedDate=null, updatedUserId=0, version=0, isDelete=false)
2021-06-23 00:22:31.245  INFO wellness-api-9f78984cb-7tp4k --- [io-8081-exec-36] c.a.a.w.w.s.i.DailyStepService           : Old daily step : AbstractVersionTrack(createdDate=2021-06-18 16:10:01.18, createdUserId=180, updatedDate=null, updatedUserId=0, version=0, isDelete=false)
